  Origins   | Flows 
 1268751433 |   455
 1758311269 |   455
  407394476 |   454
  677502837 |   454
 3428031321 |   454
  878805493 |   453
 1179347919 |   453
  878809749 |   452
  677479877 |   452
 2919295350 |   452
  677686997 |   451
 1613991941 |   451
  878709365 |   451
 1150422391 |   451
 3512319307 |   451
  677687013 |   450
 1150506870 |   450
 1268698496 |   450
 1150390101 |   448
 1268684777 |   448
  878722021 |   447
  878805477 |   447
 3325419098 |   447
  843229745 |   446
 1571708391 |   445
 2728244709 |   445
 1179516645 |   444
 1296324300 |   444
 1179166726 |   444
  878806421 |   443
 1268724268 |   443
 3256491374 |   442
  222714332 |   441
  878805317 |   441
 1150365913 |   441
 1179231917 |   441
 2960225168 |   441
 3115326222 |   440
 1150489612 |   440
  677686981 |   439
 1268671919 |   439
  845403251 |   438
 1613989165 |   438
 3115277582 |   438
 1150391368 |   436
 1179231541 |   436
  764236910 |   435
  878716837 |   435
 1150505073 |   435
 2310683456 |   435
 3487846011 |   435
  878712309 |   435
 1150348340 |   434
  878806437 |   433
  878711301 |   432
  866208052 |   432
 1121900698 |   432
 1150422152 |   431
  878724421 |   431
 2310691731 |   430
 2914496148 |   430
  757883497 |   429
 1179175587 |   429
  386996042 |   429
 1179503203 |   429
  387054517 |   429
  878806453 |   428
 1571708187 |   428
 1178696315 |   428
 3519893424 |   428
 1442856919 |   427
 3115326238 |   427
 2900074418 |   426
 3582097849 |   426
 3487846105 |   426
 1613993439 |   426
 3485327701 |   426
  843204332 |   425
 1150301066 |   425
  407011860 |   425
 1150598461 |   424
 1613990011 |   423
 2386279025 |   423
 3256491477 |   423
  878707589 |   422
